AWS/AutoScaling,GroupDesiredCapacity,AVG
AWS/AutoScaling,GroupInServiceInstances,AVG
AWS/AutoScaling,GroupMaxSize,AVG
AWS/AutoScaling,GroupMinSize,AVG
AWS/AutoScaling,GroupPendingInstances,AVG
AWS/AutoScaling,GroupTerminatingInstances,AVG
AWS/AutoScaling,GroupTotalInstances,AVG
AWS/Billing,EstimatedCharges,AVG
AWS/DynamoDB,ConsumedReadCapacityUnits,SUM
AWS/DynamoDB,ProvisionedReadCapacityUnits,AVG
AWS/DynamoDB,ProvisionedWriteCapacityUnits,AVG
AWS/DynamoDB,ReadThrottleEvents,SUM
AWS/DynamoDB,ReturnedItemCount,SUM
AWS/DynamoDB,SuccessfulRequestLatency,AVG
AWS/DynamoDB,SystemErrors,SUM
AWS/DynamoDB,ThrottledRequests,SUM
AWS/DynamoDB,UserErrors,SUM
AWS/DynamoDB,WriteThrottleEvents,SUM
AWS/EBS,VolumeConsumedReadWriteOps,AVG
AWS/EBS,VolumeIdleTime,SUM
AWS/EBS,VolumeQueueLength,AVG
AWS/EBS,VolumeReadBytes,SUM
AWS/EBS,VolumeReadOps,SUM
AWS/EBS,VolumeThroughputPercentage,AVG
AWS/EBS,VolumeTotalReadTime,SUM
AWS/EBS,VolumeTotalWriteTime,SUM
AWS/EBS,VolumeWriteBytes,SUM
AWS/EBS,VolumeWriteOps,SUM
AWS/EC2,CPUCreditBalance,AVG
AWS/EC2,CPUCreditUsage,AVG
AWS/EC2,CPUUtilization,AVG
AWS/EC2,DiskReadBytes,SUM
AWS/EC2,DiskReadOps,SUM
AWS/EC2,DiskWriteBytes,SUM
AWS/EC2,DiskWriteOps,SUM
AWS/EC2,NetworkIn,SUM
AWS/EC2,NetworkOut,SUM
AWS/EC2,StatusCheckFailed_Instance,SUM
AWS/EC2,StatusCheckFailed,SUM
AWS/EC2,StatusCheckFailed_System,SUM
AWS/ElastiCache,BytesReadIntoMemcached,SUM
AWS/ElastiCache,BytesUsedForCache,AVG
AWS/ElastiCache,BytesUsedForCacheItems,AVG
AWS/ElastiCache,BytesUsedForHash,AVG
AWS/ElastiCache,BytesWrittenOutFromMemcached,SUM
AWS/ElastiCache,CacheHits,SUM
AWS/ElastiCache,CacheMisses,SUM
AWS/ElastiCache,CasBadval,SUM
AWS/ElastiCache,CasHits,SUM
AWS/ElastiCache,CasMisses,SUM
AWS/ElastiCache,CmdConfigGet,SUM
AWS/ElastiCache,CmdConfigSet,SUM
AWS/ElastiCache,CmdFlush,SUM
AWS/ElastiCache,CmdGet,SUM
AWS/ElastiCache,CmdSet,SUM
AWS/ElastiCache,CmdTouch,SUM
AWS/ElastiCache,CPUUtilization,AVG
AWS/ElastiCache,CurrConfig,AVG
AWS/ElastiCache,CurrConnections,AVG
AWS/ElastiCache,CurrItems,AVG
AWS/ElastiCache,DecrHits,SUM
AWS/ElastiCache,DecrMisses,SUM
AWS/ElastiCache,DeleteHits,SUM
AWS/ElastiCache,DeleteMisses,SUM
AWS/ElastiCache,EvictedUnfetched,SUM
AWS/ElastiCache,Evictions,AVG
AWS/ElastiCache,Evictions,SUM
AWS/ElastiCache,ExpiredUnfetched,SUM
AWS/ElastiCache,FreeableMemory,AVG
AWS/ElastiCache,GetHits,SUM
AWS/ElastiCache,GetMisses,SUM
AWS/ElastiCache,GetTypeCmds,SUM
AWS/ElastiCache,HashBasedCmds,SUM
AWS/ElastiCache,IncrHits,SUM
AWS/ElastiCache,IncrMisses,SUM
AWS/ElastiCache,KeyBasedCmds,SUM
AWS/ElastiCache,ListBasedCmds,SUM
AWS/ElastiCache,NetworkBytesIn,AVG
AWS/ElastiCache,NetworkBytesOut,AVG
AWS/ElastiCache,NewConnections,AVG
AWS/ElastiCache,NewConnections,SUM
AWS/ElastiCache,NewItems,SUM
AWS/ElastiCache,Reclaimed,AVG
AWS/ElastiCache,Reclaimed,SUM
AWS/ElastiCache,ReplicationLag,AVG
AWS/ElastiCache,SetBasedCmds,SUM
AWS/ElastiCache,SetTypeCmds,SUM
AWS/ElastiCache,SlabsMoved,SUM
AWS/ElastiCache,SortedSetBasedCmds,SUM
AWS/ElastiCache,StringBasedCmds,SUM
AWS/ElastiCache,SwapUsage,AVG
AWS/ElastiCache,TouchHits,SUM
AWS/ElastiCache,TouchMisses,SUM
AWS/ElastiCache,UnusedMemory,AVG
AWS/ElasticMapReduce,CoreNodesPending,AVG
AWS/ElasticMapReduce,CoreNodesRunning,AVG
AWS/ElasticMapReduce,HbaseBackupFailed,SUM
AWS/ElasticMapReduce,HbaseMostRecentBackupDuration,AVG
AWS/ElasticMapReduce,HbaseTimeSinceLastSuccessfulBackup,AVG
AWS/ElasticMapReduce,HDFSBytesRead,SUM
AWS/ElasticMapReduce,HDFSBytesWritten,SUM
AWS/ElasticMapReduce,HDFSUtilization,AVG
AWS/ElasticMapReduce,IsIdle,SUM
AWS/ElasticMapReduce,JobsFailed,SUM
AWS/ElasticMapReduce,JobsRunning,SUM
AWS/ElasticMapReduce,LiveDataNodes,AVG
AWS/ElasticMapReduce,LiveTaskTrackers,AVG
AWS/ElasticMapReduce,MapSlotsOpen,AVG
AWS/ElasticMapReduce,MissingBlocks,AVG
AWS/ElasticMapReduce,ReduceSlotsOpen,AVG
